Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD
9/30/2021,Europe,Display Tablet,Cintiq Pro 24,Support Plan,206,325237.67,41888.28,367125.95
10/1/2021,North America,Display Tablet,Cintiq 16,Training,197,196904.12,35264.74,232168.86
10/2/2021,APAC,Display Tablet,Cintiq Pro 24,Support Plan,150,89855.34,14953.59,104808.93
10/3/2021,Europe,Display Tablet,Wacom One Display,Cloud Services,128,36109.76,1746.82,37856.58
10/4/2021,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,164,271433.31,32420.74,303854.05
10/5/2021,APAC,Mobile Studio,MobileStudio Pro 13,Training,216,377190.86,31492.26,408683.12
10/6/2021,Japan,Accessories,Pro Pen 2,Training,134,32451.05,5238.33,37689.38
10/7/2021,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,213,325571.78,56022.29,381594.07
10/8/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Cloud Services,202,204992.11,33997.74,238989.85
10/9/2021,Japan,Pen Tablet,Wacom Intuos M,Extended Warranty,65,56225.95,5290.18,61516.13
10/10/2021,North America,Display Tablet,Cintiq 16,Training,229,48820.53,7283.13,56103.66
10/11/2021,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,239,33580.14,2083.76,35663.9
10/12/2021,Europe,Accessories,Pro Pen 2,Cloud Services,204,197288.35,33749.09,231037.44
10/13/2021,North America,Accessories,Wacom Stand,Support Plan,167,57480.59,2808.85,60289.44
10/14/2021,North America,Pen Tablet,One by Wacom,Extended Warranty,190,190763.13,24348.73,215111.86
10/15/2021,Japan,Accessories,Pro Pen 2,Cloud Services,269,421338.83,72823.38,494162.21
10/16/2021,North America,Pen Tablet,Wacom Intuos S,Support Plan,269,224100.54,38634.29,262734.83
10/17/2021,Europe,Accessories,ExpressKey Remote,Cloud Services,171,67447.72,5726.5,73174.22
10/18/2021,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,212,100333.33,14153.72,114487.05
10/19/2021,APAC,Accessories,Pro Pen 2,Cloud Services,142,37569.97,4120.32,41690.29
10/20/2021,North America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,162,290155.22,31359.77,321514.99
10/21/2021,Latin America,Mobile Studio,MobileStudio Pro 13,Training,194,213377.77,15345.17,228722.94
10/22/2021,APAC,Mobile Studio,MobileStudio Pro 16,Support Plan,273,242066.02,40073,282139.02
10/23/2021,APAC,Display Tablet,Cintiq 16,Support Plan,200,238975.2,35713.88,274689.08
10/24/2021,Japan,Accessories,ExpressKey Remote,Extended Warranty,271,315832.22,28006.2,343838.42
10/25/2021,APAC,Display Tablet,Cintiq 16,Extended Warranty,151,108413.35,10788.37,119201.72
10/26/2021,Europe,Mobile Studio,MobileStudio Pro 16,Extended Warranty,128,111449.64,7820.35,119269.99
10/27/2021,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,225,260581.27,37684.68,298265.95
10/28/2021,APAC,Pen Tablet,Wacom Intuos M,Training,263,453517.27,27945.39,481462.66
10/29/2021,Europe,Display Tablet,Wacom One Display,Training,202,322888.91,47295.62,370184.53
10/30/2021,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,215,194114.14,11771.01,205885.15
10/31/2021,Europe,Display Tablet,Wacom One Display,Training,179,183727.8,25483.77,209211.57
11/1/2021,Japan,Pen Tablet,One by Wacom,Training,192,262376.26,40434.87,302811.13
11/2/2021,Japan,Pen Tablet,Wacom Intuos S,Cloud Services,155,108592.1,7024.8,115616.9
11/3/2021,Europe,Pen Tablet,Wacom Intuos S,Training,95,130440.97,10949.03,141390
11/4/2021,Europe,Pen Tablet,One by Wacom,Support Plan,201,120820.93,11079.06,131899.99
11/5/2021,Japan,Accessories,Pro Pen 2,Cloud Services,151,141402.86,18385.17,159788.03
11/6/2021,APAC,Pen Tablet,Wacom Intuos M,Cloud Services,70,112729.45,18848.95,131578.4
11/7/2021,Europe,Mobile Studio,MobileStudio Pro 16,Training,227,24331.12,2598.76,26929.88
11/8/2021,Japan,Display Tablet,Cintiq 16,Training,192,197706.21,31064.75,228770.96
11/9/2021,APAC,Accessories,Pro Pen 2,Support Plan,209,321500.4,57637.11,379137.51
11/10/2021,North America,Mobile Studio,MobileStudio Pro 16,Cloud Services,213,164192.76,12730.18,176922.94
11/11/2021,APAC,Accessories,ExpressKey Remote,Cloud Services,108,112108.65,9134.83,121243.48
11/12/2021,Europe,Pen Tablet,One by Wacom,Support Plan,151,258630.51,24932.79,283563.3
11/13/2021,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,150,57269.26,8801.05,66070.31
11/14/2021,Latin America,Accessories,Pro Pen 2,Cloud Services,185,230446.88,35494.89,265941.77
11/15/2021,Latin America,Display Tablet,Wacom One Display,Training,133,71169.35,7130.74,78300.09
11/16/2021,APAC,Accessories,ExpressKey Remote,Training,171,240696.33,22376.22,263072.55
11/17/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,181,192295.82,34453.81,226749.63
11/18/2021,Europe,Accessories,Pro Pen 2,Support Plan,173,254845.97,13370.72,268216.69
11/19/2021,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,86,34812.68,2345.31,37157.99
11/20/2021,Japan,Mobile Studio,MobileStudio Pro 13,Training,123,145714.92,19912.86,165627.78
11/21/2021,North America,Pen Tablet,Wacom Intuos M,Training,192,320286.1,23836.52,344122.62
11/22/2021,North America,Accessories,Wacom Stand,Cloud Services,225,199205.55,13561.66,212767.21
11/23/2021,Japan,Pen Tablet,One by Wacom,Training,200,289844.79,48422.83,338267.62
11/24/2021,APAC,Mobile Studio,MobileStudio Pro 16,Training,169,87564.44,5158.01,92722.45
11/25/2021,Japan,Pen Tablet,Wacom Intuos M,Training,296,454737.17,43603.54,498340.71
11/26/2021,North America,Display Tablet,Wacom One Display,Support Plan,181,258214.07,17953.83,276167.9
11/27/2021,APAC,Display Tablet,Cintiq Pro 24,Cloud Services,86,40555.64,1909.16,42464.8
11/28/2021,Japan,Accessories,Wacom Stand,Training,146,202522.88,11738.44,214261.32
11/29/2021,North America,Pen Tablet,Wacom Intuos M,Cloud Services,109,91440.44,14880.55,106320.99
11/30/2021,Latin America,Pen Tablet,Wacom Intuos S,Extended Warranty,200,273777.38,21984.24,295761.62
12/1/2021,Latin America,Display Tablet,Wacom One Display,Support Plan,182,172731.89,20999.05,193730.94
12/2/2021,Latin America,Accessories,ExpressKey Remote,Cloud Services,159,80194.37,11476.88,91671.25
12/3/2021,Europe,Display Tablet,Cintiq Pro 24,Extended Warranty,117,169392.54,29556.91,198949.45
12/4/2021,Latin America,Pen Tablet,Wacom Intuos M,Cloud Services,275,188519.97,24385.3,212905.27
12/5/2021,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,152,119971.3,19504.39,139475.69
12/6/2021,Japan,Pen Tablet,One by Wacom,Cloud Services,176,310739.1,50866.18,361605.28
12/7/2021,Europe,Accessories,Pro Pen 2,Cloud Services,115,129138.57,17070.48,146209.05
12/8/2021,Latin America,Accessories,Wacom Stand,Support Plan,119,155235.34,18456.43,173691.77
12/9/2021,Japan,Mobile Studio,MobileStudio Pro 13,Support Plan,205,321434.34,14247.58,335681.92
12/10/2021,Japan,Accessories,ExpressKey Remote,Cloud Services,158,216380.03,16459.11,232839.14
12/11/2021,Europe,Mobile Studio,MobileStudio Pro 16,Extended Warranty,187,84410.05,9654.9,94064.95
12/12/2021,APAC,Display Tablet,Cintiq Pro 24,Support Plan,110,13942.86,2428.74,16371.6
12/13/2021,North America,Display Tablet,Cintiq Pro 24,Extended Warranty,86,85516.18,9121.05,94637.23
12/14/2021,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,220,353641.41,54335.35,407976.76
12/15/2021,Latin America,Pen Tablet,Wacom Intuos S,Extended Warranty,175,306676.22,51032.45,357708.67
12/16/2021,Latin America,Mobile Studio,MobileStudio Pro 16,Training,204,90626.62,4766.98,95393.6
12/17/2021,Europe,Pen Tablet,One by Wacom,Support Plan,256,53089.08,3108.68,56197.76
12/18/2021,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,182,212060.69,34672.88,246733.57
12/19/2021,Japan,Display Tablet,Cintiq 16,Extended Warranty,122,103640.9,9166.93,112807.83
12/20/2021,North America,Pen Tablet,Wacom Intuos S,Support Plan,147,77676.34,4776.66,82453
12/21/2021,APAC,Accessories,Pro Pen 2,Cloud Services,127,160020.73,25586.89,185607.62
12/22/2021,Latin America,Accessories,Pro Pen 2,Cloud Services,160,72414.47,9880.68,82295.15
12/23/2021,North America,Mobile Studio,MobileStudio Pro 16,Training,157,90826.8,10681.23,101508.03
12/24/2021,Japan,Display Tablet,Cintiq 16,Extended Warranty,138,43102.54,5909.17,49011.71
12/25/2021,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,137,116253.1,11307.35,127560.45
12/26/2021,Latin America,Display Tablet,Wacom One Display,Support Plan,143,194165.24,14210.7,208375.94
12/27/2021,Japan,Accessories,Wacom Stand,Extended Warranty,182,162488.93,17855.45,180344.38
12/28/2021,APAC,Pen Tablet,Wacom Intuos S,Cloud Services,126,124650.66,15491.53,140142.19
12/29/2021,North America,Accessories,Wacom Stand,Support Plan,183,166225.77,28098.12,194323.89
12/30/2021,Japan,Display Tablet,Cintiq 16,Training,224,191518.1,12510.69,204028.79
12/31/2021,North America,Display Tablet,Wacom One Display,Support Plan,179,147307.43,21756.42,169063.85
1/1/2022,APAC,Mobile Studio,MobileStudio Pro 16,Support Plan,166,57330.92,9846.62,67177.54
1/2/2022,Japan,Accessories,Pro Pen 2,Extended Warranty,197,233146.64,22782.2,255928.84
1/3/2022,North America,Display Tablet,Cintiq Pro 24,Support Plan,199,187131.76,27293.74,214425.5
1/4/2022,Europe,Display Tablet,Cintiq Pro 24,Cloud Services,101,57918.95,4347.43,62266.38
1/5/2022,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,206,367355.33,41786.03,409141.36
1/6/2022,APAC,Display Tablet,Cintiq 16,Cloud Services,210,90434.46,10309.15,100743.61
1/7/2022,Europe,Mobile Studio,MobileStudio Pro 16,Training,214,379907.42,67588.01,447495.43
1/8/2022,Japan,Accessories,Wacom Stand,Cloud Services,182,114998.91,13411.13,128410.04
1/9/2022,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,188,147075.33,21308.92,168384.25
1/10/2022,Japan,Accessories,ExpressKey Remote,Training,180,72825.3,11584.53,84409.83
1/11/2022,North America,Accessories,ExpressKey Remote,Support Plan,181,186945.4,8031.52,194976.92
1/12/2022,North America,Accessories,Pro Pen 2,Support Plan,189,104527.09,5131.5,109658.59
1/13/2022,Latin America,Pen Tablet,One by Wacom,Extended Warranty,173,266406.58,16452.1,282858.68
1/14/2022,Europe,Mobile Studio,MobileStudio Pro 16,Training,136,27674.79,4217.23,31892.02
1/15/2022,North America,Mobile Studio,MobileStudio Pro 16,Support Plan,171,279536.3,32685.93,312222.23
1/16/2022,Latin America,Mobile Studio,MobileStudio Pro 13,Support Plan,157,208289.53,25811.19,234100.72
1/17/2022,Latin America,Accessories,Wacom Stand,Training,209,188275.69,17011.33,205287.02
1/18/2022,APAC,Mobile Studio,MobileStudio Pro 13,Support Plan,236,307655.28,13100.36,320755.64
1/19/2022,Japan,Display Tablet,Cintiq 16,Extended Warranty,137,193969.44,29769.03,223738.47
1/20/2022,North America,Pen Tablet,Wacom Intuos M,Support Plan,148,165443.02,12305.53,177748.55
1/21/2022,Latin America,Pen Tablet,One by Wacom,Support Plan,117,92659.34,5998.15,98657.49
1/22/2022,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,222,372708.12,15840.29,388548.41
1/23/2022,Japan,Display Tablet,Cintiq Pro 24,Cloud Services,181,252023.17,44312.79,296335.96
1/24/2022,Europe,Pen Tablet,Wacom Intuos M,Cloud Services,200,42885.71,6817.56,49703.27
1/25/2022,Latin America,Pen Tablet,Wacom Intuos S,Extended Warranty,155,164853.07,10138.66,174991.73
1/26/2022,APAC,Mobile Studio,MobileStudio Pro 16,Support Plan,221,340393.68,36131.3,376524.98
1/27/2022,Japan,Mobile Studio,MobileStudio Pro 16,Training,156,209191.96,19174.2,228366.16
1/28/2022,Europe,Accessories,Pro Pen 2,Support Plan,163,277298.48,39592.81,316891.29
1/29/2022,Latin America,Pen Tablet,One by Wacom,Cloud Services,178,275003.26,20305.68,295308.94
1/30/2022,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,183,232745.57,41480.79,274226.36
1/31/2022,Japan,Mobile Studio,MobileStudio Pro 13,Support Plan,149,98987.53,4946.83,103934.36
2/1/2022,APAC,Display Tablet,Cintiq 16,Cloud Services,189,124037.04,19647.21,143684.25
2/2/2022,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,216,371329.33,48685.45,420014.78
2/3/2022,Europe,Pen Tablet,One by Wacom,Cloud Services,154,49837.33,3058.85,52896.18
2/4/2022,North America,Pen Tablet,Wacom Intuos M,Support Plan,189,60562.15,6162.25,66724.4
2/5/2022,Japan,Mobile Studio,MobileStudio Pro 13,Extended Warranty,167,22564.2,2843.41,25407.61
2/6/2022,Europe,Display Tablet,Cintiq 16,Extended Warranty,104,10784.49,806.26,11590.75
2/7/2022,Europe,Display Tablet,Cintiq 16,Training,157,114591.28,13093.4,127684.68
2/8/2022,North America,Pen Tablet,Wacom Intuos S,Support Plan,187,125871.53,12458.67,138330.2
2/9/2022,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,201,23778.78,2953.14,26731.92
2/10/2022,Latin America,Pen Tablet,Wacom Intuos M,Training,192,224188.93,38130.67,262319.6
2/11/2022,APAC,Accessories,Wacom Stand,Support Plan,153,156185.31,9456.09,165641.4
2/12/2022,North America,Accessories,ExpressKey Remote,Cloud Services,176,151063.2,23863.7,174926.9
2/13/2022,North America,Mobile Studio,MobileStudio Pro 13,Training,251,225093.83,13129.49,238223.32
2/14/2022,APAC,Pen Tablet,One by Wacom,Cloud Services,186,176140.12,9282.28,185422.4
2/15/2022,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,180,315063.44,24019.49,339082.93
2/16/2022,APAC,Accessories,ExpressKey Remote,Cloud Services,121,67846.91,10839.67,78686.58
2/17/2022,Europe,Accessories,ExpressKey Remote,Extended Warranty,232,92974.29,7642.12,100616.41
2/18/2022,Japan,Pen Tablet,One by Wacom,Training,209,261178.96,17077.19,278256.15
2/19/2022,Europe,Mobile Studio,MobileStudio Pro 16,Training,216,146888.71,20615.13,167503.84
2/20/2022,APAC,Display Tablet,Cintiq 16,Training,140,148925.71,10415.32,159341.03
2/21/2022,Japan,Pen Tablet,Wacom Intuos M,Training,210,195449.6,11209.29,206658.89
2/22/2022,APAC,Accessories,Pro Pen 2,Extended Warranty,182,267165.82,45729.98,312895.8
2/23/2022,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,136,243117.64,21349.46,264467.1
2/24/2022,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,167,64463.58,8111.8,72575.38
2/25/2022,North America,Display Tablet,Wacom One Display,Cloud Services,172,25463.49,1404.44,26867.93
2/26/2022,Europe,Accessories,Pro Pen 2,Training,182,74958.48,6971.66,81930.14
2/27/2022,Latin America,Display Tablet,Cintiq 16,Training,143,33510.31,1458.66,34968.97
2/28/2022,Europe,Pen Tablet,One by Wacom,Cloud Services,220,368954.3,40802.92,409757.22
3/1/2022,Latin America,Accessories,ExpressKey Remote,Training,198,276285.54,43707.86,319993.4
3/2/2022,North America,Display Tablet,Cintiq Pro 24,Training,183,268462.06,22331.84,290793.9
3/3/2022,Japan,Pen Tablet,Wacom Intuos M,Support Plan,241,338498,17960,356458
3/4/2022,North America,Display Tablet,Cintiq 16,Support Plan,168,244383.46,30386.01,274769.47
3/5/2022,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,188,148968.44,6844.22,155812.66
3/6/2022,Japan,Mobile Studio,MobileStudio Pro 13,Training,199,161424.13,26331.12,187755.25
3/7/2022,Latin America,Pen Tablet,One by Wacom,Cloud Services,210,135204.15,14920.01,150124.16
3/8/2022,Japan,Pen Tablet,Wacom Intuos S,Training,178,60715.62,5420.1,66135.72
3/9/2022,Japan,Mobile Studio,MobileStudio Pro 16,Training,222,115786.64,20351.59,136138.23
3/10/2022,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,148,48013.98,5459.4,53473.38
3/11/2022,Europe,Mobile Studio,MobileStudio Pro 13,Cloud Services,230,122620.55,20863.13,143483.68
3/12/2022,Europe,Accessories,Pro Pen 2,Extended Warranty,151,27364.14,3384.94,30749.08
3/13/2022,North America,Pen Tablet,Wacom Intuos M,Support Plan,185,97072.89,12892.19,109965.08
3/14/2022,Europe,Display Tablet,Wacom One Display,Cloud Services,188,75176.69,6409.36,81586.05
3/15/2022,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,150,52323.16,2855.86,55179.02
3/16/2022,APAC,Mobile Studio,MobileStudio Pro 16,Training,232,211047.32,35694.45,246741.77
3/17/2022,Latin America,Accessories,Pro Pen 2,Support Plan,111,189775.37,15952.6,205727.97
3/18/2022,APAC,Display Tablet,Cintiq 16,Training,168,68355.47,11331.46,79686.93
3/19/2022,Japan,Accessories,Pro Pen 2,Extended Warranty,200,29330.46,3857.61,33188.07
3/20/2022,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,105,179943.16,26054.33,205997.49
3/21/2022,Japan,Display Tablet,Cintiq Pro 24,Support Plan,161,114881.87,13234.87,128116.74
3/22/2022,Latin America,Display Tablet,Wacom One Display,Support Plan,140,72495.47,6816.68,79312.15
3/23/2022,APAC,Pen Tablet,One by Wacom,Training,180,134572.43,11889.97,146462.4
3/24/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,183,199567.64,34977.89,234545.53
3/25/2022,North America,Display Tablet,Cintiq 16,Cloud Services,197,35656.24,3568.26,39224.5
3/26/2022,Japan,Accessories,Wacom Stand,Cloud Services,231,55345.52,6568.48,61914
3/27/2022,APAC,Pen Tablet,One by Wacom,Cloud Services,176,233077.14,37691.06,270768.2
3/28/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,183,279811.14,45236.38,325047.52
3/29/2022,North America,Pen Tablet,One by Wacom,Extended Warranty,203,316638.37,41408.6,358046.97
3/30/2022,North America,Display Tablet,Cintiq 16,Support Plan,128,165183.7,11333.31,176517.01
3/31/2022,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,176,74561.92,6033.82,80595.74
4/1/2022,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,124,75531,6184.29,81715.29
4/2/2022,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,150,13253.19,1883.67,15136.86
4/3/2022,Europe,Accessories,Wacom Stand,Cloud Services,207,189611.55,19161.97,208773.52
4/4/2022,APAC,Pen Tablet,One by Wacom,Extended Warranty,189,209572.41,34733.86,244306.27
4/5/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,185,72300.71,6456.23,78756.94
4/6/2022,Europe,Pen Tablet,One by Wacom,Support Plan,171,159648.45,26931.8,186580.25
4/7/2022,Latin America,Accessories,Pro Pen 2,Support Plan,205,44705.78,3432.61,48138.39
4/8/2022,Europe,Display Tablet,Cintiq Pro 24,Support Plan,255,271998.8,29843.64,301842.44
4/9/2022,North America,Accessories,ExpressKey Remote,Training,224,71312.31,7129.45,78441.76
4/10/2022,Europe,Pen Tablet,Wacom Intuos M,Cloud Services,271,286317.58,14224.14,300541.72
4/11/2022,APAC,Display Tablet,Wacom One Display,Support Plan,228,131205.6,18542.54,149748.14
4/12/2022,Latin America,Pen Tablet,One by Wacom,Cloud Services,149,34710.66,1503.87,36214.53
4/13/2022,Japan,Accessories,Pro Pen 2,Cloud Services,69,70589.08,7035.91,77624.99
4/14/2022,Latin America,Display Tablet,Cintiq Pro 24,Training,180,320622.86,19563.81,340186.67
4/15/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,234,375452.04,49983.91,425435.95
4/16/2022,APAC,Accessories,Wacom Stand,Training,196,139261.81,15736.87,154998.68
4/17/2022,Japan,Display Tablet,Cintiq 16,Training,225,115080.07,10484.56,125564.63
4/18/2022,Latin America,Pen Tablet,One by Wacom,Cloud Services,238,73806.81,10121.89,83928.7
4/19/2022,North America,Accessories,Wacom Stand,Support Plan,190,18016.12,839.82,18855.94
4/20/2022,North America,Display Tablet,Cintiq Pro 24,Cloud Services,213,291103.28,14572.83,305676.11
4/21/2022,Europe,Accessories,ExpressKey Remote,Cloud Services,97,9584.35,1182,10766.35
4/22/2022,Latin America,Pen Tablet,Wacom Intuos M,Training,152,44559.19,5246.21,49805.4
4/23/2022,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,178,287500.5,43932.43,331432.93
4/24/2022,Japan,Pen Tablet,One by Wacom,Extended Warranty,192,124268.32,21184.3,145452.62
4/25/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,165,165724.78,17930.78,183655.56
4/26/2022,Europe,Display Tablet,Wacom One Display,Support Plan,164,32124.94,5474.24,37599.18
4/27/2022,North America,Accessories,Pro Pen 2,Support Plan,175,43177.3,7169.11,50346.41
4/28/2022,North America,Accessories,Wacom Stand,Support Plan,152,177292.97,25889.9,203182.87
4/29/2022,Latin America,Pen Tablet,Wacom Intuos M,Extended Warranty,118,74887.16,10305.84,85193
4/30/2022,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,206,171363.21,24994.51,196357.72
5/1/2022,Japan,Display Tablet,Cintiq Pro 24,Support Plan,113,113885.12,12230.41,126115.53
5/2/2022,North America,Accessories,ExpressKey Remote,Support Plan,172,186228.29,22706.22,208934.51
5/3/2022,APAC,Display Tablet,Cintiq 16,Extended Warranty,191,274890.68,35039.35,309930.03
5/4/2022,North America,Accessories,ExpressKey Remote,Extended Warranty,114,62680.53,7135.3,69815.83
5/5/2022,Japan,Accessories,Wacom Stand,Extended Warranty,143,157115.95,11162.04,168277.99
5/6/2022,Latin America,Pen Tablet,Wacom Intuos M,Cloud Services,234,256731.62,22439.06,279170.68
5/7/2022,Latin America,Mobile Studio,MobileStudio Pro 13,Cloud Services,105,102267.51,9362.85,111630.36
5/8/2022,APAC,Display Tablet,Wacom One Display,Support Plan,225,162499.43,27979.17,190478.6
5/9/2022,Latin America,Display Tablet,Cintiq 16,Support Plan,119,78764.37,12145.65,90910.02
5/10/2022,Latin America,Accessories,ExpressKey Remote,Cloud Services,141,38156.25,4777.63,42933.88
5/11/2022,North America,Accessories,Wacom Stand,Training,219,365309.66,59806.04,425115.7
5/12/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,209,311296.16,34181.57,345477.73
5/13/2022,APAC,Pen Tablet,One by Wacom,Extended Warranty,210,316289.16,24926.03,341215.19
5/14/2022,Japan,Accessories,Pro Pen 2,Cloud Services,146,145380.14,18888.43,164268.57
5/15/2022,APAC,Accessories,ExpressKey Remote,Training,106,26119.99,1895.85,28015.84
5/16/2022,Europe,Display Tablet,Cintiq Pro 24,Support Plan,132,135117.34,9474.21,144591.55
5/17/2022,Europe,Display Tablet,Wacom One Display,Extended Warranty,206,238340.76,39971.83,278312.59
5/18/2022,Latin America,Display Tablet,Wacom One Display,Cloud Services,203,305724.22,39248.88,344973.1
5/19/2022,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,210,22753.37,3962.11,26715.48
5/20/2022,North America,Accessories,ExpressKey Remote,Cloud Services,178,18035.53,2008.49,20044.02
5/21/2022,North America,Display Tablet,Cintiq 16,Training,235,119779.7,13637.67,133417.37
5/22/2022,North America,Accessories,ExpressKey Remote,Cloud Services,151,95103.54,7718.08,102821.62
5/23/2022,Europe,Mobile Studio,MobileStudio Pro 16,Training,175,299950.53,23975.33,323925.86
5/24/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,189,165866.01,7354.38,173220.39
5/25/2022,APAC,Accessories,ExpressKey Remote,Extended Warranty,240,232441.96,28951.17,261393.13
5/26/2022,Japan,Display Tablet,Cintiq 16,Support Plan,248,299235.06,53676.11,352911.17
5/27/2022,APAC,Display Tablet,Wacom One Display,Extended Warranty,180,270369.49,31451.73,301821.22
5/28/2022,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,251,72874.84,12364.35,85239.19
5/29/2022,Europe,Display Tablet,Wacom One Display,Cloud Services,255,105763.93,4288.22,110052.15
5/30/2022,Latin America,Mobile Studio,MobileStudio Pro 13,Training,158,135228.26,13026.8,148255.06
5/31/2022,APAC,Accessories,Wacom Stand,Cloud Services,173,50859.56,4137.66,54997.22
6/1/2022,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,204,347026.02,60067.8,407093.82
6/2/2022,Latin America,Display Tablet,Cintiq 16,Extended Warranty,211,290325.9,12896.68,303222.58
6/3/2022,Japan,Pen Tablet,One by Wacom,Extended Warranty,110,134817.1,12021.8,146838.9
6/4/2022,Latin America,Display Tablet,Cintiq Pro 24,Cloud Services,96,135300.44,10547.93,145848.37
6/5/2022,Europe,Pen Tablet,Wacom Intuos S,Support Plan,237,354475.28,58949.58,413424.86
6/6/2022,Latin America,Display Tablet,Cintiq Pro 24,Cloud Services,247,415636.23,49863.81,465500.04
6/7/2022,APAC,Pen Tablet,Wacom Intuos S,Extended Warranty,107,61665.3,4549.91,66215.21
6/8/2022,Japan,Accessories,Pro Pen 2,Training,187,217642.08,24579.75,242221.83
6/9/2022,Europe,Pen Tablet,Wacom Intuos S,Training,230,343953.43,23310.97,367264.4
6/10/2022,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,193,301897.04,24377.3,326274.34
6/11/2022,Europe,Accessories,Wacom Stand,Extended Warranty,192,234830.8,37217.87,272048.67
6/12/2022,North America,Pen Tablet,Wacom Intuos M,Training,208,283020.85,29264.87,312285.72
6/13/2022,Europe,Accessories,Wacom Stand,Training,103,27008.75,1934.06,28942.81
6/14/2022,APAC,Display Tablet,Cintiq Pro 24,Training,188,94580.42,10292.76,104873.18
6/15/2022,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,213,227631.32,23996.5,251627.82
6/16/2022,Japan,Display Tablet,Cintiq 16,Training,164,146228.11,17763.77,163991.88
6/17/2022,North America,Pen Tablet,Wacom Intuos S,Training,149,203014.67,17823.26,220837.93
6/18/2022,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,188,203456.2,16265.04,219721.24
6/19/2022,Europe,Accessories,Wacom Stand,Support Plan,147,76265.72,8508.21,84773.93
6/20/2022,Europe,Pen Tablet,Wacom Intuos M,Training,180,319958.04,51986.5,371944.54
6/21/2022,Latin America,Pen Tablet,One by Wacom,Cloud Services,166,125575.55,20331.02,145906.57
6/22/2022,APAC,Accessories,Wacom Stand,Extended Warranty,176,259978.53,36224.93,296203.46
6/23/2022,Japan,Pen Tablet,Wacom Intuos S,Cloud Services,245,91402.98,11881.7,103284.68
6/24/2022,North America,Accessories,Wacom Stand,Support Plan,104,162257.61,11633.17,173890.78
6/25/2022,Japan,Display Tablet,Cintiq 16,Cloud Services,190,197059.65,22015.6,219075.25
6/26/2022,Europe,Accessories,Wacom Stand,Training,151,55696.85,8004.42,63701.27
6/27/2022,Europe,Accessories,Wacom Stand,Support Plan,164,264990.64,10700.06,275690.7
6/28/2022,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,237,129856.5,13557.7,143414.2
6/29/2022,North America,Accessories,Pro Pen 2,Extended Warranty,242,258820.77,13726.64,272547.41
6/30/2022,Japan,Display Tablet,Cintiq Pro 24,Support Plan,171,119729.41,17909.91,137639.32
7/1/2022,APAC,Pen Tablet,One by Wacom,Support Plan,109,14894.84,1065.6,15960.44
