Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD,Revenue_Outlier_Flag,Year,Month,Day_Of_Week,Revenue_per_Unit,Next_Month_Revenue
2022-02-06,Europe,Display Tablet,Cintiq 16,Extended Warranty,104,10784.49,806.26,11590.75,0,2022,2,6,111.45,5084310.07
2022-02-07,Europe,Display Tablet,Cintiq 16,Training,157,114591.28,13093.4,127684.68,0,2022,2,0,813.28,5084310.07
2022-02-08,North America,Pen Tablet,Wacom Intuos S,Support Plan,187,125871.53,12458.67,138330.2,0,2022,2,1,739.73,5084310.07
2022-02-09,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,201,23778.78,2953.14,26731.92,0,2022,2,2,132.99,5084310.07
2022-02-10,Latin America,Pen Tablet,Wacom Intuos M,Training,192,224188.93,38130.67,262319.6,0,2022,2,3,1366.25,5084310.07
2022-02-11,APAC,Accessories,Wacom Stand,Support Plan,153,156185.31,9456.09,165641.4,0,2022,2,4,1082.62,5084310.07
2022-02-12,North America,Accessories,ExpressKey Remote,Cloud Services,176,151063.2,23863.7,174926.9,0,2022,2,5,993.9,5084310.07
2022-02-13,North America,Mobile Studio,MobileStudio Pro 13,Training,251,225093.83,13129.49,238223.32,0,2022,2,6,949.1,5084310.07
2022-02-14,APAC,Pen Tablet,One by Wacom,Cloud Services,186,176140.12,9282.28,185422.4,0,2022,2,0,996.89,5084310.07
2022-02-15,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,180,315063.44,24019.49,339082.93,0,2022,2,1,1883.79,5084310.07
2022-02-16,APAC,Accessories,ExpressKey Remote,Cloud Services,121,67846.91,10839.67,78686.58,0,2022,2,2,650.3,5084310.07
2022-02-17,Europe,Accessories,ExpressKey Remote,Extended Warranty,232,92974.29,7642.12,100616.41,0,2022,2,3,433.69,5084310.07
2022-02-18,Japan,Pen Tablet,One by Wacom,Training,209,261178.96,17077.19,278256.15,0,2022,2,4,1331.37,5084310.07
2022-02-19,Europe,Mobile Studio,MobileStudio Pro 16,Training,216,146888.71,20615.13,167503.84,0,2022,2,5,775.48,5084310.07
2022-02-20,APAC,Display Tablet,Cintiq 16,Training,140,148925.71,10415.32,159341.03,0,2022,2,6,1138.15,5084310.07
2022-02-21,Japan,Pen Tablet,Wacom Intuos M,Training,210,195449.6,11209.29,206658.89,0,2022,2,0,984.09,5084310.07
2022-02-22,APAC,Accessories,Pro Pen 2,Extended Warranty,182,267165.82,45729.98,312895.8,0,2022,2,1,1719.21,5084310.07
2022-02-23,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,136,243117.64,21349.46,264467.1,0,2022,2,2,1944.61,5084310.07
2022-02-24,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,167,64463.58,8111.8,72575.38,0,2022,2,3,434.58,5084310.07
2022-02-25,North America,Display Tablet,Wacom One Display,Cloud Services,172,25463.49,1404.44,26867.93,0,2022,2,4,156.21,5084310.07
2022-02-26,Europe,Accessories,Pro Pen 2,Training,182,74958.48,6971.66,81930.14,0,2022,2,5,450.17,5084310.07
2022-02-27,Latin America,Display Tablet,Cintiq 16,Training,143,33510.31,1458.66,34968.97,0,2022,2,6,244.54,5084310.07
2022-02-28,Europe,Pen Tablet,One by Wacom,Cloud Services,220,368954.3,40802.92,409757.22,0,2022,2,0,1862.53,5084310.07
2022-03-01,Latin America,Accessories,ExpressKey Remote,Training,198,276285.54,43707.86,319993.4,0,2022,3,1,1616.13,4556259.82
2022-03-02,North America,Display Tablet,Cintiq Pro 24,Training,183,268462.06,22331.84,290793.9,0,2022,3,2,1589.04,4556259.82
2022-03-03,Japan,Pen Tablet,Wacom Intuos M,Support Plan,241,338498.0,17960.0,356458.0,0,2022,3,3,1479.08,4556259.82
2022-03-04,North America,Display Tablet,Cintiq 16,Support Plan,168,244383.46,30386.01,274769.47,0,2022,3,4,1635.53,4556259.82
2022-03-05,Europe,Mobile Studio,MobileStudio Pro 16,Support Plan,188,148968.44,6844.22,155812.66,0,2022,3,5,828.79,4556259.82
2022-03-06,Japan,Mobile Studio,MobileStudio Pro 13,Training,199,161424.13,26331.12,187755.25,0,2022,3,6,943.49,4556259.82
2022-03-07,Latin America,Pen Tablet,One by Wacom,Cloud Services,210,135204.15,14920.01,150124.16,0,2022,3,0,714.88,4556259.82
2022-03-08,Japan,Pen Tablet,Wacom Intuos S,Training,178,60715.62,5420.1,66135.72,0,2022,3,1,371.55,4556259.82
2022-03-09,Japan,Mobile Studio,MobileStudio Pro 16,Training,222,115786.64,20351.59,136138.23,0,2022,3,2,613.24,4556259.82
2022-03-10,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,148,48013.98,5459.4,53473.38,0,2022,3,3,361.31,4556259.82
2022-03-11,Europe,Mobile Studio,MobileStudio Pro 13,Cloud Services,230,122620.55,20863.13,143483.68,0,2022,3,4,623.84,4556259.82
2022-03-12,Europe,Accessories,Pro Pen 2,Extended Warranty,151,27364.14,3384.94,30749.08,0,2022,3,5,203.64,4556259.82
2022-03-13,North America,Pen Tablet,Wacom Intuos M,Support Plan,185,97072.89,12892.19,109965.08,0,2022,3,6,594.41,4556259.82
2022-03-14,Europe,Display Tablet,Wacom One Display,Cloud Services,188,75176.69,6409.36,81586.05,0,2022,3,0,433.97,4556259.82
2022-03-15,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,150,52323.16,2855.86,55179.02,0,2022,3,1,367.86,4556259.82
2022-03-16,APAC,Mobile Studio,MobileStudio Pro 16,Training,232,211047.32,35694.45,246741.77,0,2022,3,2,1063.54,4556259.82
2022-03-17,Latin America,Accessories,Pro Pen 2,Support Plan,111,189775.37,15952.6,205727.97,0,2022,3,3,1853.41,4556259.82
2022-03-18,APAC,Display Tablet,Cintiq 16,Training,168,68355.47,11331.46,79686.93,0,2022,3,4,474.33,4556259.82
2022-03-19,Japan,Accessories,Pro Pen 2,Extended Warranty,200,29330.46,3857.61,33188.07,0,2022,3,5,165.94,4556259.82
2022-03-20,Japan,Pen Tablet,Wacom Intuos S,Extended Warranty,105,179943.16,26054.33,205997.49,0,2022,3,6,1961.88,4556259.82
2022-03-21,Japan,Display Tablet,Cintiq Pro 24,Support Plan,161,114881.87,13234.87,128116.74,0,2022,3,0,795.76,4556259.82
2022-03-22,Latin America,Display Tablet,Wacom One Display,Support Plan,140,72495.47,6816.68,79312.15,0,2022,3,1,566.52,4556259.82
2022-03-23,APAC,Pen Tablet,One by Wacom,Training,180,134572.43,11889.97,146462.4,0,2022,3,2,813.68,4556259.82
2022-03-24,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,183,199567.64,34977.89,234545.53,0,2022,3,3,1281.67,4556259.82
2022-03-25,North America,Display Tablet,Cintiq 16,Cloud Services,197,35656.24,3568.26,39224.5,0,2022,3,4,199.11,4556259.82
2022-03-26,Japan,Accessories,Wacom Stand,Cloud Services,231,55345.52,6568.48,61914.0,0,2022,3,5,268.03,4556259.82
2022-03-27,APAC,Pen Tablet,One by Wacom,Cloud Services,176,233077.14,37691.06,270768.2,0,2022,3,6,1538.46,4556259.82
2022-03-28,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,183,279811.14,45236.38,325047.52,0,2022,3,0,1776.22,4556259.82
2022-03-29,North America,Pen Tablet,One by Wacom,Extended Warranty,203,316638.37,41408.6,358046.97,0,2022,3,1,1763.78,4556259.82
2022-03-30,North America,Display Tablet,Cintiq 16,Support Plan,128,165183.7,11333.31,176517.01,0,2022,3,2,1379.04,4556259.82
2022-03-31,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,176,74561.92,6033.82,80595.74,0,2022,3,3,457.93,4556259.82
2022-04-01,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,124,75531.0,6184.29,81715.29,0,2022,4,4,658.99,5764981.58
2022-04-02,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,150,13253.19,1883.67,15136.86,0,2022,4,5,100.91,5764981.58
2022-04-03,Europe,Accessories,Wacom Stand,Cloud Services,207,189611.55,19161.97,208773.52,0,2022,4,6,1008.57,5764981.58
2022-04-04,APAC,Pen Tablet,One by Wacom,Extended Warranty,189,209572.41,34733.86,244306.27,0,2022,4,0,1292.63,5764981.58
2022-04-05,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,185,72300.71,6456.23,78756.94,0,2022,4,1,425.71,5764981.58
2022-04-06,Europe,Pen Tablet,One by Wacom,Support Plan,171,159648.45,26931.8,186580.25,0,2022,4,2,1091.11,5764981.58
2022-04-07,Latin America,Accessories,Pro Pen 2,Support Plan,205,44705.78,3432.61,48138.39,0,2022,4,3,234.82,5764981.58
2022-04-08,Europe,Display Tablet,Cintiq Pro 24,Support Plan,255,271998.8,29843.64,301842.44,0,2022,4,4,1183.7,5764981.58
2022-04-09,North America,Accessories,ExpressKey Remote,Training,224,71312.31,7129.45,78441.76,0,2022,4,5,350.19,5764981.58
2022-04-10,Europe,Pen Tablet,Wacom Intuos M,Cloud Services,271,286317.58,14224.14,300541.72,0,2022,4,6,1109.01,5764981.58
2022-04-11,APAC,Display Tablet,Wacom One Display,Support Plan,228,131205.6,18542.54,149748.14,0,2022,4,0,656.79,5764981.58
2022-04-12,Latin America,Pen Tablet,One by Wacom,Cloud Services,149,34710.66,1503.87,36214.53,0,2022,4,1,243.05,5764981.58
2022-04-13,Japan,Accessories,Pro Pen 2,Cloud Services,69,70589.08,7035.91,77624.99,0,2022,4,2,1125.0,5764981.58
2022-04-14,Latin America,Display Tablet,Cintiq Pro 24,Training,180,320622.86,19563.81,340186.67,0,2022,4,3,1889.93,5764981.58
2022-04-15,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,234,375452.04,49983.91,425435.95,0,2022,4,4,1818.1,5764981.58
2022-04-16,APAC,Accessories,Wacom Stand,Training,196,139261.81,15736.87,154998.68,0,2022,4,5,790.81,5764981.58
2022-04-17,Japan,Display Tablet,Cintiq 16,Training,225,115080.07,10484.56,125564.63,0,2022,4,6,558.07,5764981.58
2022-04-18,Latin America,Pen Tablet,One by Wacom,Cloud Services,238,73806.81,10121.89,83928.7,0,2022,4,0,352.64,5764981.58
2022-04-19,North America,Accessories,Wacom Stand,Support Plan,190,18016.12,839.82,18855.94,0,2022,4,1,99.24,5764981.58
2022-04-20,North America,Display Tablet,Cintiq Pro 24,Cloud Services,213,291103.28,14572.83,305676.11,0,2022,4,2,1435.1,5764981.58
2022-04-21,Europe,Accessories,ExpressKey Remote,Cloud Services,97,9584.35,1182.0,10766.35,0,2022,4,3,110.99,5764981.58
2022-04-22,Latin America,Pen Tablet,Wacom Intuos M,Training,152,44559.19,5246.21,49805.4,0,2022,4,4,327.67,5764981.58
2022-04-23,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,178,287500.5,43932.43,331432.93,0,2022,4,5,1861.98,5764981.58
2022-04-24,Japan,Pen Tablet,One by Wacom,Extended Warranty,192,124268.32,21184.3,145452.62,0,2022,4,6,757.57,5764981.58
2022-04-25,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,165,165724.78,17930.78,183655.56,0,2022,4,0,1113.06,5764981.58
2022-04-26,Europe,Display Tablet,Wacom One Display,Support Plan,164,32124.94,5474.24,37599.18,0,2022,4,1,229.26,5764981.58
2022-04-27,North America,Accessories,Pro Pen 2,Support Plan,175,43177.3,7169.11,50346.41,0,2022,4,2,287.69,5764981.58
2022-04-28,North America,Accessories,Wacom Stand,Support Plan,152,177292.97,25889.9,203182.87,0,2022,4,3,1336.73,5764981.58
2022-04-29,Latin America,Pen Tablet,Wacom Intuos M,Extended Warranty,118,74887.16,10305.84,85193.0,0,2022,4,4,721.97,5764981.58
2022-04-30,North America,Pen Tablet,Wacom Intuos M,Extended Warranty,206,171363.21,24994.51,196357.72,0,2022,4,5,953.19,5764981.58
2022-05-01,Japan,Display Tablet,Cintiq Pro 24,Support Plan,113,113885.12,12230.41,126115.53,0,2022,5,6,1116.07,6746305.71
2022-05-02,North America,Accessories,ExpressKey Remote,Support Plan,172,186228.29,22706.22,208934.51,0,2022,5,0,1214.74,6746305.71
2022-05-03,APAC,Display Tablet,Cintiq 16,Extended Warranty,191,274890.68,35039.35,309930.03,0,2022,5,1,1622.67,6746305.71
2022-05-04,North America,Accessories,ExpressKey Remote,Extended Warranty,114,62680.53,7135.3,69815.83,0,2022,5,2,612.42,6746305.71
2022-05-05,Japan,Accessories,Wacom Stand,Extended Warranty,143,157115.95,11162.04,168277.99,0,2022,5,3,1176.77,6746305.71
2022-05-06,Latin America,Pen Tablet,Wacom Intuos M,Cloud Services,234,256731.62,22439.06,279170.68,0,2022,5,4,1193.04,6746305.71
2022-05-07,Latin America,Mobile Studio,MobileStudio Pro 13,Cloud Services,105,102267.51,9362.85,111630.36,0,2022,5,5,1063.15,6746305.71
2022-05-08,APAC,Display Tablet,Wacom One Display,Support Plan,225,162499.43,27979.17,190478.6,0,2022,5,6,846.57,6746305.71
2022-05-09,Latin America,Display Tablet,Cintiq 16,Support Plan,119,78764.37,12145.65,90910.02,0,2022,5,0,763.95,6746305.71
2022-05-10,Latin America,Accessories,ExpressKey Remote,Cloud Services,141,38156.25,4777.63,42933.88,0,2022,5,1,304.5,6746305.71
2022-05-11,North America,Accessories,Wacom Stand,Training,219,365309.66,59806.04,425115.7,0,2022,5,2,1941.17,6746305.71
2022-05-12,Latin America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,209,311296.16,34181.57,345477.73,0,2022,5,3,1653.0,6746305.71
2022-05-13,APAC,Pen Tablet,One by Wacom,Extended Warranty,210,316289.16,24926.03,341215.19,0,2022,5,4,1624.83,6746305.71
2022-05-14,Japan,Accessories,Pro Pen 2,Cloud Services,146,145380.14,18888.43,164268.57,0,2022,5,5,1125.13,6746305.71
2022-05-15,APAC,Accessories,ExpressKey Remote,Training,106,26119.99,1895.85,28015.84,0,2022,5,6,264.3,6746305.71
2022-05-16,Europe,Display Tablet,Cintiq Pro 24,Support Plan,132,135117.34,9474.21,144591.55,0,2022,5,0,1095.39,6746305.71
2022-05-17,Europe,Display Tablet,Wacom One Display,Extended Warranty,206,238340.76,39971.83,278312.59,0,2022,5,1,1351.03,6746305.71
2022-05-18,Latin America,Display Tablet,Wacom One Display,Cloud Services,203,305724.22,39248.88,344973.1,0,2022,5,2,1699.37,6746305.71
2022-05-19,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,210,22753.37,3962.11,26715.48,0,2022,5,3,127.22,6746305.71
2022-05-20,North America,Accessories,ExpressKey Remote,Cloud Services,178,18035.53,2008.49,20044.02,0,2022,5,4,112.61,6746305.71
2022-05-21,North America,Display Tablet,Cintiq 16,Training,235,119779.7,13637.67,133417.37,0,2022,5,5,567.73,6746305.71
2022-05-22,North America,Accessories,ExpressKey Remote,Cloud Services,151,95103.54,7718.08,102821.62,0,2022,5,6,680.94,6746305.71
2022-05-23,Europe,Mobile Studio,MobileStudio Pro 16,Training,175,299950.53,23975.33,323925.86,0,2022,5,0,1851.0,6746305.71
2022-05-24,Latin America,Mobile Studio,MobileStudio Pro 16,Support Plan,189,165866.01,7354.38,173220.39,0,2022,5,1,916.51,6746305.71
2022-05-25,APAC,Accessories,ExpressKey Remote,Extended Warranty,240,232441.96,28951.17,261393.13,0,2022,5,2,1089.14,6746305.71
2022-05-26,Japan,Display Tablet,Cintiq 16,Support Plan,248,299235.06,53676.11,352911.17,0,2022,5,3,1423.03,6746305.71
2022-05-27,APAC,Display Tablet,Wacom One Display,Extended Warranty,180,270369.49,31451.73,301821.22,0,2022,5,4,1676.78,6746305.71
2022-05-28,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,251,72874.84,12364.35,85239.19,0,2022,5,5,339.6,6746305.71
2022-05-29,Europe,Display Tablet,Wacom One Display,Cloud Services,255,105763.93,4288.22,110052.15,0,2022,5,6,431.58,6746305.71
2022-05-30,Latin America,Mobile Studio,MobileStudio Pro 13,Training,158,135228.26,13026.8,148255.06,0,2022,5,0,938.32,6746305.71
2022-05-31,APAC,Accessories,Wacom Stand,Cloud Services,173,50859.56,4137.66,54997.22,0,2022,5,1,317.9,6746305.71
2022-06-01,Japan,Mobile Studio,MobileStudio Pro 16,Support Plan,204,347026.02,60067.8,407093.82,0,2022,6,2,1995.56,4953052.22
2022-06-02,Latin America,Display Tablet,Cintiq 16,Extended Warranty,211,290325.9,12896.68,303222.58,0,2022,6,3,1437.07,4953052.22
2022-06-03,Japan,Pen Tablet,One by Wacom,Extended Warranty,110,134817.1,12021.8,146838.9,0,2022,6,4,1334.9,4953052.22
2022-06-04,Latin America,Display Tablet,Cintiq Pro 24,Cloud Services,96,135300.44,10547.93,145848.37,0,2022,6,5,1519.25,4953052.22
2022-06-05,Europe,Pen Tablet,Wacom Intuos S,Support Plan,237,354475.28,58949.58,413424.86,0,2022,6,6,1744.41,4953052.22
2022-06-06,Latin America,Display Tablet,Cintiq Pro 24,Cloud Services,247,415636.23,49863.81,465500.04,0,2022,6,0,1884.62,4953052.22
2022-06-07,APAC,Pen Tablet,Wacom Intuos S,Extended Warranty,107,61665.3,4549.91,66215.21,0,2022,6,1,618.83,4953052.22
2022-06-08,Japan,Accessories,Pro Pen 2,Training,187,217642.08,24579.75,242221.83,0,2022,6,2,1295.3,4953052.22
2022-06-09,Europe,Pen Tablet,Wacom Intuos S,Training,230,343953.43,23310.97,367264.4,0,2022,6,3,1596.8,4953052.22
2022-06-10,Latin America,Mobile Studio,MobileStudio Pro 16,Cloud Services,193,301897.04,24377.3,326274.34,0,2022,6,4,1690.54,4953052.22
2022-06-11,Europe,Accessories,Wacom Stand,Extended Warranty,192,234830.8,37217.87,272048.67,0,2022,6,5,1416.92,4953052.22
2022-06-12,North America,Pen Tablet,Wacom Intuos M,Training,208,283020.85,29264.87,312285.72,0,2022,6,6,1501.37,4953052.22
2022-06-13,Europe,Accessories,Wacom Stand,Training,103,27008.75,1934.06,28942.81,0,2022,6,0,281.0,4953052.22
2022-06-14,APAC,Display Tablet,Cintiq Pro 24,Training,188,94580.42,10292.76,104873.18,0,2022,6,1,557.84,4953052.22
2022-06-15,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,213,227631.32,23996.5,251627.82,0,2022,6,2,1181.35,4953052.22
2022-06-16,Japan,Display Tablet,Cintiq 16,Training,164,146228.11,17763.77,163991.88,0,2022,6,3,999.95,4953052.22
2022-06-17,North America,Pen Tablet,Wacom Intuos S,Training,149,203014.67,17823.26,220837.93,0,2022,6,4,1482.13,4953052.22
2022-06-18,Japan,Mobile Studio,MobileStudio Pro 16,Cloud Services,188,203456.2,16265.04,219721.24,0,2022,6,5,1168.73,4953052.22
2022-06-19,Europe,Accessories,Wacom Stand,Support Plan,147,76265.72,8508.21,84773.93,0,2022,6,6,576.69,4953052.22
2022-06-20,Europe,Pen Tablet,Wacom Intuos M,Training,180,319958.04,51986.5,371944.54,0,2022,6,0,2066.36,4953052.22
2022-06-21,Latin America,Pen Tablet,One by Wacom,Cloud Services,166,125575.55,20331.02,145906.57,0,2022,6,1,878.96,4953052.22
2022-06-22,APAC,Accessories,Wacom Stand,Extended Warranty,176,259978.53,36224.93,296203.46,0,2022,6,2,1682.97,4953052.22
2022-06-23,Japan,Pen Tablet,Wacom Intuos S,Cloud Services,245,91402.98,11881.7,103284.68,0,2022,6,3,421.57,4953052.22
2022-06-24,North America,Accessories,Wacom Stand,Support Plan,104,162257.61,11633.17,173890.78,0,2022,6,4,1672.03,4953052.22
2022-06-25,Japan,Display Tablet,Cintiq 16,Cloud Services,190,197059.65,22015.6,219075.25,0,2022,6,5,1153.03,4953052.22
2022-06-26,Europe,Accessories,Wacom Stand,Training,151,55696.85,8004.42,63701.27,0,2022,6,6,421.86,4953052.22
2022-06-27,Europe,Accessories,Wacom Stand,Support Plan,164,264990.64,10700.06,275690.7,0,2022,6,0,1681.04,4953052.22
2022-06-28,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,237,129856.5,13557.7,143414.2,0,2022,6,1,605.12,4953052.22
2022-06-29,North America,Accessories,Pro Pen 2,Extended Warranty,242,258820.77,13726.64,272547.41,0,2022,6,2,1126.23,4953052.22
2022-06-30,Japan,Display Tablet,Cintiq Pro 24,Support Plan,171,119729.41,17909.91,137639.32,0,2022,6,3,804.91,4953052.22
2022-07-01,APAC,Pen Tablet,One by Wacom,Support Plan,109,14894.84,1065.6,15960.44,0,2022,7,4,146.43,6151390.5200000005
2022-07-02,Japan,Pen Tablet,Wacom Intuos M,Cloud Services,138,220409.97,33425.7,253835.67,0,2022,7,5,1839.39,6151390.5200000005
2022-07-03,Japan,Accessories,Wacom Stand,Extended Warranty,199,195648.91,25706.35,221355.26,0,2022,7,6,1112.34,6151390.5200000005
2022-07-04,APAC,Accessories,Wacom Stand,Support Plan,135,27624.04,4758.87,32382.91,0,2022,7,0,239.87,6151390.5200000005
2022-07-05,North America,Mobile Studio,MobileStudio Pro 13,Extended Warranty,196,349766.0,21912.68,371678.68,0,2022,7,1,1896.32,6151390.5200000005
2022-07-06,Europe,Display Tablet,Cintiq Pro 24,Cloud Services,208,286423.44,25681.17,312104.61,0,2022,7,2,1500.5,6151390.5200000005
2022-07-07,Japan,Mobile Studio,MobileStudio Pro 16,Extended Warranty,184,57514.86,3242.26,60757.12,0,2022,7,3,330.2,6151390.5200000005
2022-07-08,North America,Accessories,Pro Pen 2,Extended Warranty,231,104552.8,14309.51,118862.31,0,2022,7,4,514.56,6151390.5200000005
2022-07-09,APAC,Pen Tablet,Wacom Intuos M,Extended Warranty,143,106236.48,16681.34,122917.82,0,2022,7,5,859.57,6151390.5200000005
2022-07-10,Japan,Mobile Studio,MobileStudio Pro 13,Extended Warranty,127,195090.91,23635.86,218726.77,0,2022,7,6,1722.26,6151390.5200000005
2022-07-11,Latin America,Mobile Studio,MobileStudio Pro 16,Training,142,199521.37,35864.36,235385.73,0,2022,7,0,1657.65,6151390.5200000005
2022-07-12,APAC,Pen Tablet,Wacom Intuos S,Support Plan,205,58367.92,4334.82,62702.74,0,2022,7,1,305.87,6151390.5200000005
2022-07-13,Japan,Mobile Studio,MobileStudio Pro 13,Extended Warranty,221,80686.01,3735.36,84421.37,0,2022,7,2,382.0,6151390.5200000005
2022-07-14,Europe,Pen Tablet,Wacom Intuos M,Extended Warranty,195,25089.24,2965.91,28055.15,0,2022,7,3,143.87,6151390.5200000005
2022-07-15,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,132,220188.88,17679.68,237868.56,0,2022,7,4,1802.03,6151390.5200000005
2022-07-16,APAC,Mobile Studio,MobileStudio Pro 16,Support Plan,152,268569.23,38531.75,307100.98,0,2022,7,5,2020.4,6151390.5200000005
2022-07-17,Europe,Pen Tablet,Wacom Intuos S,Support Plan,152,204672.42,14546.8,219219.22,0,2022,7,6,1442.23,6151390.5200000005
2022-07-18,Japan,Accessories,ExpressKey Remote,Training,218,273854.4,35612.97,309467.37,0,2022,7,0,1419.58,6151390.5200000005
2022-07-19,Japan,Accessories,ExpressKey Remote,Training,285,45183.65,6785.31,51968.96,0,2022,7,1,182.35,6151390.5200000005
2022-07-20,Japan,Display Tablet,Cintiq 16,Training,240,105651.58,12920.67,118572.25,0,2022,7,2,494.05,6151390.5200000005
2022-07-21,Japan,Accessories,Pro Pen 2,Support Plan,183,133137.52,12412.81,145550.33,0,2022,7,3,795.36,6151390.5200000005
2022-07-22,Europe,Display Tablet,Cintiq 16,Cloud Services,239,330733.53,56732.8,387466.33,0,2022,7,4,1621.2,6151390.5200000005
2022-07-23,Latin America,Display Tablet,Cintiq 16,Training,207,164112.69,18633.3,182745.99,0,2022,7,5,882.83,6151390.5200000005
2022-07-24,Japan,Pen Tablet,One by Wacom,Support Plan,169,49522.72,4826.57,54349.29,0,2022,7,6,321.59,6151390.5200000005
2022-07-25,Europe,Mobile Studio,MobileStudio Pro 16,Cloud Services,184,211399.16,22003.04,233402.2,0,2022,7,0,1268.49,6151390.5200000005
2022-07-26,Japan,Pen Tablet,One by Wacom,Support Plan,157,71103.09,5577.31,76680.4,0,2022,7,1,488.41,6151390.5200000005
2022-07-27,Europe,Pen Tablet,Wacom Intuos S,Extended Warranty,180,64514.75,3425.69,67940.44,0,2022,7,2,377.45,6151390.5200000005
2022-07-28,Europe,Display Tablet,Cintiq 16,Training,213,98307.18,4265.76,102572.94,0,2022,7,3,481.56,6151390.5200000005
2022-07-29,Europe,Display Tablet,Cintiq Pro 24,Support Plan,180,59770.9,10602.09,70372.99,0,2022,7,4,390.96,6151390.5200000005
2022-07-30,APAC,Mobile Studio,MobileStudio Pro 16,Extended Warranty,279,64760.0,11425.61,76185.61,0,2022,7,5,273.07,6151390.5200000005
2022-07-31,Latin America,Display Tablet,Wacom One Display,Extended Warranty,199,147339.03,25102.75,172441.78,0,2022,7,6,866.54,6151390.5200000005
2022-08-01,Japan,Display Tablet,Wacom One Display,Cloud Services,183,218848.39,38409.41,257257.8,0,2022,8,0,1405.78,5323805.8
2022-08-02,Japan,Mobile Studio,MobileStudio Pro 13,Cloud Services,153,197609.08,12031.58,209640.66,0,2022,8,1,1370.2,5323805.8
2022-08-03,North America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,219,75899.82,5630.0,81529.82,0,2022,8,2,372.28,5323805.8
2022-08-04,Latin America,Display Tablet,Cintiq Pro 24,Support Plan,147,264445.78,10854.87,275300.65,0,2022,8,3,1872.79,5323805.8
2022-08-05,North America,Accessories,Pro Pen 2,Extended Warranty,144,157599.18,21395.67,178994.85,0,2022,8,4,1243.02,5323805.8
2022-08-06,Japan,Display Tablet,Cintiq 16,Training,136,149897.35,10353.29,160250.64,0,2022,8,5,1178.31,5323805.8
2022-08-07,APAC,Accessories,ExpressKey Remote,Cloud Services,202,180079.24,15310.66,195389.9,0,2022,8,6,967.28,5323805.8
2022-08-08,Latin America,Mobile Studio,MobileStudio Pro 13,Support Plan,184,326967.37,23262.92,350230.29,0,2022,8,0,1903.43,5323805.8
2022-08-09,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,195,155890.21,13315.64,169205.85,0,2022,8,1,867.72,5323805.8
2022-08-10,North America,Mobile Studio,MobileStudio Pro 16,Cloud Services,179,61603.55,9162.69,70766.24,0,2022,8,2,395.34,5323805.8
2022-08-11,Japan,Pen Tablet,One by Wacom,Cloud Services,166,109323.53,6776.26,116099.79,0,2022,8,3,699.4,5323805.8
2022-08-12,Europe,Mobile Studio,MobileStudio Pro 13,Support Plan,154,223498.81,39284.64,262783.45,0,2022,8,4,1706.39,5323805.8
2022-08-13,APAC,Accessories,Pro Pen 2,Extended Warranty,183,185536.33,15745.3,201281.63,0,2022,8,5,1099.9,5323805.8
2022-08-14,North America,Accessories,Pro Pen 2,Extended Warranty,220,195120.09,25582.92,220703.01,0,2022,8,6,1003.2,5323805.8
2022-08-15,Europe,Display Tablet,Wacom One Display,Cloud Services,180,268125.86,35271.09,303396.95,0,2022,8,0,1685.54,5323805.8
2022-08-16,Europe,Mobile Studio,MobileStudio Pro 16,Extended Warranty,179,203236.84,16045.63,219282.47,0,2022,8,1,1225.04,5323805.8
2022-08-17,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,253,125241.26,6074.08,131315.34,0,2022,8,2,519.03,5323805.8
2022-08-18,Latin America,Accessories,ExpressKey Remote,Support Plan,129,185797.16,28810.32,214607.48,0,2022,8,3,1663.62,5323805.8
2022-08-19,Latin America,Pen Tablet,One by Wacom,Extended Warranty,191,170632.9,22475.07,193107.97,0,2022,8,4,1011.04,5323805.8
2022-08-20,Latin America,Pen Tablet,One by Wacom,Cloud Services,227,341921.1,42115.6,384036.7,0,2022,8,5,1691.79,5323805.8
